  Layer  Stave Chip     X         Y           Z        r         phi
    00    00    00    3.1268    0.4325    -12.7290   3.1565    0.1374
    00    00    01    3.1183    0.4340     -9.7149   3.1484    0.1383
    00    00    02    3.1128    0.4373     -6.7010   3.1434    0.1396
    00    00    03    3.1083    0.4421     -3.6867   3.1396    0.1413
    00    00    04    3.1044    0.4463     -0.6721   3.1363    0.1428
    00    00    05    3.0992    0.4506      2.3420   3.1318    0.1444
    00    00    06    3.0957    0.4556      5.3548   3.1291    0.1461
    00    00    07    3.0911    0.4606      8.3703   3.1252    0.1479
    00    00    08    3.0840    0.4635     11.3815   3.1187    0.1492
    00    01    00    2.4752    1.5721    -12.7251   2.9323    0.5659
    00    01    01    2.4716    1.5776     -9.7100   2.9322    0.5681
    00    01    02    2.4666    1.5838     -6.6959   2.9314    0.5708
    00    01    03    2.4617    1.5907     -3.6820   2.9309    0.5737
    00    01    04    2.4563    1.5982     -0.6669   2.9304    0.5768
    00    01    05    2.4510    1.6031      2.3490   2.9287    0.5792
    00    01    06    2.4465    1.6070      5.3627   2.9271    0.5812
    00    01    07    2.4403    1.6109      8.3750   2.9241    0.5835
    00    01    08    2.4324    1.6097     11.3900   2.9168    0.5846
    00    02    00    1.3597    2.2326    -12.7152   2.6141    1.0238
    00    02    01    1.3541    2.2361     -9.6996   2.6141    1.0263
    00    02    02    1.3481    2.2421     -6.6850   2.6162    1.0295
    00    02    03    1.3412    2.2489     -3.6710   2.6184    1.0330
    00    02    04    1.3345    2.2556     -0.6560   2.6208    1.0365
    00    02    05    1.3271    2.2626      2.3586   2.6231    1.0403
    00    02    06    1.3202    2.2667      5.3733   2.6231    1.0434
    00    02    07    1.3135    2.2713      8.3873   2.6237    1.0465
    00    02    08    1.3079    2.2742     11.4021   2.6235    1.0489
    00    03    00   -0.0208    2.2881    -12.6973   2.2882    1.5799
    00    03    01   -0.0207    2.2845     -9.6840   2.2846    1.5799
    00    03    02   -0.0191    2.2809     -6.6700   2.2809    1.5792
    00    03    03   -0.0181    2.2764     -3.6547   2.2765    1.5788
    00    03    04   -0.0172    2.2720     -0.6393   2.2721    1.5784
    00    03    05   -0.0165    2.2673      2.3754   2.2673    1.5781
    00    03    06   -0.0151    2.2638      5.3891   2.2639    1.5775
    00    03    07   -0.0139    2.2608      8.4040   2.2608    1.5769
    00    03    08   -0.0121    2.2598     11.4180   2.2598    1.5762
    00    04    00   -1.1398    1.6140    -12.6883   1.9759    2.1857
    00    04    01   -1.1341    1.6165     -9.6773   1.9747    2.1826
    00    04    02   -1.1301    1.6179     -6.6631   1.9735    2.1805
    00    04    03   -1.1285    1.6200     -3.6487   1.9743    2.1792
    00    04    04   -1.1289    1.6217     -0.6350   1.9759    2.1789
    00    04    05   -1.1298    1.6229      2.3781   1.9774    2.1790
    00    04    06   -1.1309    1.6247      5.3929   1.9795    2.1789
    00    04    07   -1.1342    1.6277      8.4061   1.9839    2.1794
    00    04    08   -1.1384    1.6294     11.4205   1.9877    2.1806
    00    05    00   -1.7779    0.4947    -12.6917   1.8455    2.8702
    00    05    01   -1.7771    0.4985     -9.6766   1.8457    2.8681
    00    05    02   -1.7770    0.5013     -6.6633   1.8464    2.8666
    00    05    03   -1.7784    0.5042     -3.6488   1.8485    2.8653
    00    05    04   -1.7797    0.5066     -0.6351   1.8504    2.8643
    00    05    05   -1.7820    0.5084      2.3789   1.8531    2.8637
    00    05    06   -1.7837    0.5105      5.3931   1.8553    2.8628
    00    05    07   -1.7854    0.5128      8.4062   1.8576    2.8619
    00    05    08   -1.7889    0.5152     11.4205   1.8617    2.8612
    00    06    00   -1.7704   -0.7888    -12.6829   1.9382   -2.7225
    00    06    01   -1.7671   -0.7823     -9.6692   1.9325   -2.7248
    00    06    02   -1.7666   -0.7766     -6.6561   1.9298   -2.7274
    00    06    03   -1.7693   -0.7726     -3.6428   1.9306   -2.7299
    00    06    04   -1.7732   -0.7698     -0.6291   1.9331   -2.7320
    00    06    05   -1.7790   -0.7685      2.3847   1.9379   -2.7338
    00    06    06   -1.7861   -0.7680      5.3986   1.9443   -2.7355
    00    06    07   -1.7937   -0.7679      8.4121   1.9512   -2.7371
    00    06    08   -1.8011   -0.7685     11.4260   1.9582   -2.7383
    00    07    00   -1.1651   -1.7638    -12.7540   2.1139   -2.1545
    00    07    01   -1.1141   -1.8829     -9.6696   2.1878   -2.1051
    00    07    02   -1.1168   -1.8790     -6.6556   2.1858   -2.1070
    00    07    03   -1.1218   -1.8768     -3.6420   2.1865   -2.1095
    00    07    04   -1.1284   -1.8754     -0.6290   2.1887   -2.1125
    00    07    05   -1.1335   -1.8753      2.3853   2.1913   -2.1145
    00    07    06   -1.1407   -1.8751      5.3991   2.1948   -2.1174
    00    07    07   -1.1479   -1.8756      8.4136   2.1989   -2.1200
    00    07    08   -1.1546   -1.8756     11.4283   2.2025   -2.1226
    00    08    00    0.0165   -2.5115    -12.6775   2.5115   -1.5642
    00    08    01    0.0121   -2.5099     -9.6653   2.5100   -1.5660
    00    08    02    0.0080   -2.5083     -6.6520   2.5083   -1.5676
    00    08    03    0.0021   -2.5086     -3.6383   2.5086   -1.5700
    00    08    04   -0.0038   -2.5098     -0.6247   2.5098   -1.5723
    00    08    05   -0.0097   -2.5115      2.3898   2.5115   -1.5747
    00    08    06   -0.0164   -2.5138      5.4039   2.5138   -1.5773
    00    08    07   -0.0239   -2.5150      8.4185   2.5152   -1.5803
    00    08    08   -0.0300   -2.5153     11.4331   2.5155   -1.5827
    00    09    00    1.3404   -2.5415    -12.7466   2.8733   -1.0855
    00    09    01    1.3390   -2.5406     -9.7309   2.8719   -1.0858
    00    09    02    1.3363   -2.5387     -6.7172   2.8689   -1.0863
    00    09    03    1.3324   -2.5350     -3.7018   2.8639   -1.0869
    00    09    04    1.3284   -2.5302     -0.6877   2.8577   -1.0873
    00    09    05    1.3255   -2.5232      2.3268   2.8502   -1.0871
    00    09    06    1.3209   -2.5179      5.3409   2.8433   -1.0877
    00    09    07    1.3161   -2.5125      8.3541   2.8363   -1.0883
    00    09    08    1.3144   -2.5087     11.3688   2.8322   -1.0882
    00    10    00    2.4592   -1.8889    -12.7466   3.1009   -0.6550
